mssv,HK 1,HK 1 dat,HK 1 hoc lai,HK 2,HK 2 dat,HK 2 hoc lai,HK 3,HK 3 dat,HK 3 hoc lai,HK 4,HK 4 dat,HK 4 hoc lai,HK 5,HK 5 dat,HK 5 hoc lai,HK 6,HK 6 dat,HK 6 hoc lai,HK 7,HK 7 dat,HK 7 hoc lai,HK 8,HK 8 dat,HK 8 hoc lai,xep_loai_hoc_tap
181230438,2.6,5,6,2.2,3,6,5.1,11,6,1.3,0,14,0.2,0,9,8.2,6,0,6.9,3,0,0.0,0,2,Chua xep loai
181203797,5.5,11,0,5.2,9,0,6.3,17,0,5.9,11,3,5.7,9,0,6.9,6,3,6.8,3,0,8.0,2,0,Chua xep loai
181200812,6.1,11,0,7.5,9,0,6.1,14,3,7.3,14,0,5.2,9,0,7.2,9,0,9.9,3,0,7.9,12,0,Chua xep loai
181203561,6.9,11,0,8.8,9,0,6.0,17,0,7.9,14,0,6.1,9,0,7.9,9,0,7.7,3,0,9.0,2,0,Chua xep loai
181200551,7.7,11,0,6.6,9,0,8.1,17,0,6.7,14,0,5.8,6,3,5.9,9,0,5.8,3,0,0.0,0,0,Chua xep loai
181200747,5.3,11,0,6.6,6,3,4.4,11,6,6.0,14,0,5.7,9,0,6.4,6,3,8.0,3,0,0.0,0,2,Chua xep loai
181203007,6.7,11,0,8.8,9,0,7.4,17,0,8.0,14,0,6.7,9,0,7.3,9,0,9.2,3,0,8.6,2,0,Chua xep loai
181201313,6.5,8,3,7.2,3,6,5.3,8,9,4.6,6,8,5.8,6,3,4.7,6,3,5.6,3,0,0.0,0,2,Chua xep loai
181202276,4.8,8,3,5.9,6,3,4.6,11,6,5.4,11,3,0.0,0,9,4.2,3,0,0.0,0,0,0.0,0,0,Chua xep loai
181210395,6.0,9,2,6.0,6,3,6.4,12,5,4.9,9,5,5.9,6,3,6.1,9,0,7.1,3,0,8.5,0,2,Chua xep loai
